fileName;variableName;description;unitText
cam.Pvisit.sp.Puntal.rds;id_plant;Individual plant identification number;NA
cam.Pvisit.sp.Puntal.rds;bird_sp;Bird species name;NA
cam.Pvisit.sp.Puntal.rds;PVindiv;Relative probability of visit at an individual plant;NA
cam.Pvisit.sp.Puntal.rds;Pbird;Probability that a given visit is from a given bird species;NA
cam.Pvisit.sp.Puntal.rds;Pvisit.sp;Probability of bird species visiting individual plant;NA
consumed_fruit_mat.csv;id_plant;Individual plant identification number;NA
consumed_fruit_mat.csv;bird_sp (each column);Bird species abbreviated name: Cya.cae = Cyanistes caeruleus, Chl.chl = Chloris chloris, Coc.coc = Coccothraustes coccothraustes, Syl.com = Sylvia communis, Cya.coo = Cyanopica cooki, Syl.hor = Sylvia hortensis, Syl.can = Sylvia cantillans, Syl.mel = Sylvia melanocephala, Col.pal = Columba palumbus, Syl.und = Sylvia undata, Eri.rub = Erithacus rubecula, Fri.coe = Fringilla coelebs, Fic.hyp = Ficedula hypoleuca, Hip.pol = Hippolais polyglotta, Lus.meg = Luscinia megarhynchos, Lan.mer = Lanius meridionalis, Mus.str = Muscicapa striata, Par.maj = Parus major, Pho.pho = Phoenicurus phoenicurus, Pyr.pyr = Pyrrhula pyrrhula, Syl.atr = Sylvia atricapilla, Syl.bor = Sylvia borin, Sax.rub = Saxicola rubicola, Stu.uni = Sturnus unicolor, Tur.mer = Turdus merula, Tur.phi = Turdus philomelos, Tur.vis = Turdus viscivorus. ;number of fruits consumed
Dependency_distribution.rds;pdp;Unique identifier for the iteration number of the posterior distribution probability calculated (pdp) (n=1000);
Dependency_distribution.rds;bird_sp;Bird species name;NA
Dependency_distribution.rds;rpe.animal.1.pdp;Total Resource Provisioning Effectiveness obtained at all plants where a bird species consumed (different for each bayes iteration) ;NA
Dependency_distribution.rds;id_plant;Individual plant identification number;NA
Dependency_distribution.rds;rpe.eff;Resource Provisioning Effectiveness obtained at an individual plant;NA
Dependency_distribution.rds;rpe.dep;Bird dependence value on a specific plant (rpe.eff/rep.animal.pdp);NA
Dependency_distribution.rds;sde.plant.1.pdp;Total Seed Dispersal Effectiveness that a given plant obtained from all the bird species that consumed from it (different for each bayes iteration) ;NA
Dependency_distribution.rds;sde.eff;Seed Dispersal Effectiveness obtained from a given bird species;NA
Dependency_distribution.rds;sde.dep;Plant dependence value on a specific animal (sde.eff/sde.plant.pdp);NA
Dependency_distribution.rds;asy.num;Asymmetry numerator (sde.dep-rpe.dep);NA
Dependency_distribution.rds;asy.denom;Asymmetry denominator (maximun value of sde.dep or rpe.dep);NA
Dependency_distribution.rds;asymmetry;Asymmetry value for mutual partner dependence;NA
dron_areas.csv;plant_id;Individual plant identification number;NA
dron_areas.csv;area_new;Area of seed trap used;meters
dron_areas.csv;site;Site where data was collected (n = 2);
Effectiveness_correlation_slope_CI_sd.rds;;Dataset containing in rows the observed median rpe value (X) for each plant (n=79) and in columns and the predicted sde value (Y) for each of the 1000 models. Obs: this dataset considers RPE and SDE values that are calculated using only legitimate seed dispersing species;
Effectiveness_correlation_slope_CI.rds;;Dataset containing in rows the observed median rpe value (X) for each plant (n=79) and in columns and the predicted sde value (Y) for each of the 1000 models.;
Effectiveness_correlation_slopes_sd.rds;pdp;Unique identifier for the iteration number of the posterior distribution probability calculated (pdp) (n=1000).;NA
Effectiveness_correlation_slopes_sd.rds;(Intercept);Intercept value for model correlation between individual plant's RPE and SDE (n=1000 models). Obs: this dataset considers RPE and SDE values that are calculated using only legitimate seed dispersing species.;NA
Effectiveness_correlation_slopes_sd.rds;log(plant_rpe);Estimate value (i.e. slope) for model correlation between individual plant's RPE and SDE (n=1000 models). Obs: this dataset considers RPE and SDE values that are calculated using only legitimate seed dispersing species.;NA
Effectiveness_correlation_slopes.rds;pdp;Unique identifier for the iteration number of the posterior distribution probability calculated (pdp) (n=1000);NA
Effectiveness_correlation_slopes.rds;(Intercept);Intercept value for model correlation between individual plant's RPE and SDE (n=1000 models);NA
Effectiveness_correlation_slopes.rds;log(plant_rpe);Estimate value (i.e. slope) for model correlation between individual plant's RPE and SDE (n=1000 models);NA
Effectiveness_plants_no_pred.rds;pdp;Unique identifier for the iteration number of the posterior distribution probability calculated (pdp) (n=1000).;NA
Effectiveness_plants_no_pred.rds;id_plant;Individual plant identification number;NA
Effectiveness_plants_no_pred.rds;plant_sde;Estimated SDE value for a given individual plant (aggregating the SDE of its  interactions with bird species). Obs: this dataset considers RPE and SDE values for plants that are calculated using only legitimate seed dispersing species.;NA
Effectiveness_plants_no_pred.rds;plant_rpe;Estimated RPE value that a given individual plant provides (aggregating the RPE of its interactions with bird species). Obs: this dataset considers RPE and SDE values for plants that are calculated using only legitimate seed dispersing species.;NA
Effectiveness_plants.rds;pdp;Unique identifier for the iteration number of the posterior distribution probability calculated (pdp) (n=1000);NA
Effectiveness_plants.rds;id_plant;Individual plant identification number;NA
Effectiveness_plants.rds;plant_sde;Estimated SDE value for a given individual plant (aggregating the SDE of its  interactions with bird species).;NA
Effectiveness_plants.rds;plant_rpe;Estimated RPE value that a given individual plant provides (aggregating the RPE of its interactions with bird species).;NA
effectiveness_summary.csv;id_plant;Individual plant identification number;NA
effectiveness_summary.csv;bird_sp;Bird species name;NA
effectiveness_summary.csv;mean.sde.qtc;Mean Seed Dispersal Effectiveness Quantity subcomponent;NA
effectiveness_summary.csv;median.sde.qtc;Median Seed Dispersal Effectiveness Quantity subcomponent;NA
effectiveness_summary.csv;mean.sde.qlc;Mean Seed Dispersal Effectiveness Quality subcomponent;NA
effectiveness_summary.csv;median.sde.qlc;Median Seed Dispersal Effectiveness Quality subcomponent;NA
effectiveness_summary.csv;mean.rpe.qtc;Mean Resource Provisioning Effectiveness Quantity subcomponent;NA
effectiveness_summary.csv;median.rpe.qtc;Median Resource Provisioning Effectiveness Quantity subcomponent;NA
effectiveness_summary.csv;mean.rpe.qlc;Mean Resource Provisioning Effectiveness Quality subcomponent;NA
effectiveness_summary.csv;median.rpe.qlc;Median Resource Provisioning Effectiveness Quality subcomponent;NA
effectiveness_summary.csv;initcrop;Initial fruit crop size of individual plant;NA
effectiveness_summary.csv;area;Plant crown's area;sq meters
effectiveness_summary.csv;median.sde.qlc.FR;Median Seed Dispersal Effectiveness Quality that a bird species has at FR microhabitat;NA
effectiveness_summary.csv;median.sde.qlc.NF;Median Seed Dispersal Effectiveness Quality that a bird species has at NF microhabitat;NA
effectiveness_summary.csv;median.sde.qlc.OA;Median Seed Dispersal Effectiveness Quality that a bird species has at OA microhabitat;NA
effectiveness_summary.csv;median.sde.qlc.PP;Median Seed Dispersal Effectiveness Quality that a bird species has at PP microhabitat;NA
effectiveness_summary.csv;median.sde.qlc.PL;Median Seed Dispersal Effectiveness Quality that a bird species has at PL microhabitat;NA
effectiveness_summary.csv;mean.sde;Mean total Seed Dispersal Effectiveness;NA
effectiveness_summary.csv;median.sde;Median total Seed Dispersal Effectiveness;NA
effectiveness_summary.csv;mean.rpe;Mean total Resource Provisioning Effectiveness;NA
effectiveness_summary.csv;median.rpe;Median total Resource Provisioning Effectiveness;NA
effectiveness.rds;site;NA;NA
effectiveness.rds;id_plant;NA;NA
effectiveness.rds;bird_sp;NA;NA
effectiveness.rds;qty.fru.manipulated;NA;NA
effectiveness.rds;qty.fru.consumed;NA;NA
effectiveness.rds;fruit.reward;NA;NA
effectiveness.rds;sde.qlc;NA;NA
effectiveness.rds;Nvisit.site;NA;NA
effectiveness.rds;Pvisit.sp;NA;NA
effectiveness.rds;Pfeed;NA;NA
effectiveness.rds;Nfruits;NA;NA
effectiveness.rds;pulp_weight;NA;NA
effectiveness.rds;seed_weight;NA;NA
effectiveness.rds;PWP;NA;NA
effectiveness.rds;SWP;NA;NA
effectiveness.rds;P.energy;NA;NA
effectiveness.rds;S.energy;NA;NA
effectiveness.rds;p.reward;NA;NA
effectiveness.rds;s.reward;NA;NA
effectiveness.rds;Prob.escape.bird.pred;NA;NA
effectiveness.rds;Prob.bird.disperse.mh_FR;NA;NA
effectiveness.rds;Prob.bird.disperse.mh_NF;NA;NA
effectiveness.rds;Prob.bird.disperse.mh_OA;NA;NA
effectiveness.rds;Prob.bird.disperse.mh_PL;NA;NA
effectiveness.rds;Prob.bird.disperse.mh_PP;NA;NA
effectiveness.rds;Prob.escape.rodent.pred_FR;NA;NA
effectiveness.rds;Prob.escape.rodent.pred_NF;NA;NA
effectiveness.rds;Prob.escape.rodent.pred_OA;NA;NA
effectiveness.rds;Prob.escape.rodent.pred_PL;NA;NA
effectiveness.rds;Prob.escape.rodent.pred_PP;NA;NA
effectiveness.rds;Prob.seedling.surv_FR;NA;NA
effectiveness.rds;Prob.seedling.surv_NF;NA;NA
effectiveness.rds;Prob.seedling.surv_OA;NA;NA
effectiveness.rds;Prob.seedling.surv_PL;NA;NA
effectiveness.rds;Prob.seedling.surv_PP;NA;NA
effectiveness.rds;qlty.mh_FR;NA;NA
effectiveness.rds;qlty.mh_NF;NA;NA
effectiveness.rds;qlty.mh_OA;NA;NA
effectiveness.rds;qlty.mh_PL;NA;NA
effectiveness.rds;qlty.mh_PP;NA;NA
effectiveness.rds;area_new;NA;NA
effectiveness.rds;initcrop;NA;NA
effectiveness.rds;sde;NA;NA
effectiveness.rds;rpe;NA;NA
;;;
fruit_characteristics.csv;;;
fruit_traits_HR_pedro.csv;# Data Jordano PhD thesis 1993 unpublished;;
lentisc_feeding_rates.csv;date;NA;NA
lentisc_feeding_rates.csv;bird_sp;NA;NA
lentisc_feeding_rates.csv;no_fruits;NA;NA
lentisc_feeding_rates.csv;visit_lenght_s;NA;NA
lentisc_feeding_rates.csv;method;NA;NA
lentisc_feeding_rates.csv;bodymass;NA;NA
lentisc_feeding_rates.csv;bodymass.sd;NA;NA
lentisc_feeding_rates.csv;gape_width;NA;NA
lentisc_feeding_rates.csv;gape_width.sd;NA;NA
lentisc_feeding_rates.csv;diet;NA;NA
mh_combined_barcoding.csv;id_plant;NA;NA
mh_combined_barcoding.csv;id_dropping;NA;NA
mh_combined_barcoding.csv;date_collection;NA;NA
mh_combined_barcoding.csv;regurg;NA;NA
mh_combined_barcoding.csv;seed_sp1;NA;NA
mh_combined_barcoding.csv;seed_n1;NA;NA
mh_combined_barcoding.csv;seed_sp2;NA;NA
mh_combined_barcoding.csv;seed_n2;NA;NA
mh_combined_barcoding.csv;viability;NA;NA
mh_combined_barcoding.csv;barcoded;NA;NA
mh_combined_barcoding.csv;bird_sp;NA;NA
mh_combined_barcoding.csv;bird_sp_short;NA;NA
mh_combined_barcoding.csv;bc_criteria;NA;NA
mh_combined_barcoding.csv;mh;NA;NA
mh_combined_barcoding.csv;indiv_samp_eff;NA;NA
mh_combined_barcoding.csv;plant_sp;NA;NA
mh_combined_barcoding.csv;seed_sp3;NA;NA
mh_combined_barcoding.csv;seed_n3;NA;NA
mh_combined_barcoding.csv;seed_sp4;NA;NA
mh_combined_barcoding.csv;seed_n4;NA;NA
mh_combined_barcoding.csv;total_samp_eff;NA;NA
seed_predation.csv;id_station;NA;NA
seed_predation.csv;mh;NA;NA
seed_predation.csv;rev_date;NA;NA
seed_predation.csv;experimental;NA;NA
seed_predation.csv;control;NA;NA
seed_predation.csv;day_since_install;NA;NA
seedling_emergence.csv;season;NA;NA
seedling_emergence.csv;mh;NA;NA
seedling_emergence.csv;germin_station;NA;NA
seedling_emergence.csv;seed_position;NA;NA
seedling_emergence.csv;seed_id;NA;NA
seedling_emergence.csv;seed_mother;NA;NA
seedling_emergence.csv;mother_origin;NA;NA
seedling_emergence.csv;seed_color;NA;NA
seedling_emergence.csv;sowing_date;NA;NA
seedling_emergence.csv;revision_date;NA;NA
seedling_emergence.csv;alive;NA;NA
seedling_emergence.csv;emergence_date;NA;NA
seedling_emergence.csv;death_date;NA;NA
seedling_emergence.csv;day_since_sown;NA;NA
seedling_emergence.csv;emerged_status;NA;NA
seed_predators_escape.csv;id_plant;NA;NA
seed_predators_escape.csv;predated.seeds;NA;NA
seed_predators_escape.csv;entire.seeds;NA;NA
seed_predators_escape.csv;entire.Chloris;NA;NA
seed_predators_escape.csv;entire.Pyrrhula;NA;NA
seed_predators_escape.csv;entire.Fringilla;NA;NA
